0.352 0.009 {'n_estimators': 20, 'max_depth': 16}
0.364 0.015 {'n_estimators': 25, 'max_depth': 16}
0.365 0.006 {'n_estimators': 30, 'max_depth': 16}
0.372 0.015 {'n_estimators': 35, 'max_depth': 16}
0.374 0.006 {'n_estimators': 40, 'max_depth': 16}
0.378 0.006 {'n_estimators': 45, 'max_depth': 16}
0.334 0.022 {'n_estimators': 10, 'max_depth': 17}
0.353 0.010 {'n_estimators': 15, 'max_depth': 17}
0.350 0.007 {'n_estimators': 20, 'max_depth': 17}
0.364 0.009 {'n_estimators': 25, 'max_depth': 17}
0.372 0.008 {'n_estimators': 30, 'max_depth': 17}
0.376 0.011 {'n_estimators': 35, 'max_depth': 17}
0.375 0.010 {'n_estimators': 40, 'max_depth': 17}
0.372 0.009 {'n_estimators': 45, 'max_depth': 17}
0.327 0.014 {'n_estimators': 10, 'max_depth': 18}
0.364 0.020 {'n_estimators': 15, 'max_depth': 18}
0.354 0.011 {'n_estimators': 20, 'max_depth': 18}
0.366 0.008 {'n_estimators': 25, 'max_depth': 18}
0.367 0.011 {'n_estimators': 30, 'max_depth': 18}
0.377 0.006 {'n_estimators': 35, 'max_depth': 18}
0.380 0.008 {'n_estimators': 40, 'max_depth': 18}
0.379 0.009 {'n_estimators': 45, 'max_depth': 18}
0.342 0.013 {'n_estimators': 10, 'max_depth': 19}
0.366 0.009 {'n_estimators': 15, 'max_depth': 19}
0.366 0.010 {'n_estimators': 20, 'max_depth': 19}
0.370 0.005 {'n_estimators': 25, 'max_depth': 19}
0.373 0.016 {'n_estimators': 30, 'max_depth': 19}
0.378 0.009 {'n_estimators': 35, 'max_depth': 19}
0.375 0.009 {'n_estimators': 40, 'max_depth': 19}
0.377 0.006 {'n_estimators': 45, 'max_depth': 19}
0.350 0.014 {'n_estimators': 10, 'max_depth': 20}
0.356 0.018 {'n_estimators': 15, 'max_depth': 20}
0.364 0.012 {'n_estimators': 20, 'max_depth': 20}
0.365 0.017 {'n_estimators': 25, 'max_depth': 20}
0.371 0.009 {'n_estimators': 30, 'max_depth': 20}
0.379 0.010 {'n_estimators': 35, 'max_depth': 20}
0.380 0.009 {'n_estimators': 40, 'max_depth': 20}
0.383 0.003 {'n_estimators': 45, 'max_depth': 20}
0.342 0.011 {'n_estimators': 10, 'max_depth': 21}
0.365 0.004 {'n_estimators': 15, 'max_depth': 21}
0.362 0.012 {'n_estimators': 20, 'max_depth': 21}
0.373 0.006 {'n_estimators': 25, 'max_depth': 21}
0.378 0.012 {'n_estimators': 30, 'max_depth': 21}
0.379 0.008 {'n_estimators': 35, 'max_depth': 21}
0.377 0.006 {'n_estimators': 40, 'max_depth': 21}
0.384 0.007 {'n_estimators': 45, 'max_depth': 21}
0.359 0.012 {'n_estimators': 10, 'max_depth': 22}
0.360 0.014 {'n_estimators': 15, 'max_depth': 22}
0.372 0.011 {'n_estimators': 20, 'max_depth': 22}
0.373 0.017 {'n_estimators': 25, 'max_depth': 22}
0.382 0.004 {'n_estimators': 30, 'max_depth': 22}
0.379 0.008 {'n_estimators': 35, 'max_depth': 22}
0.380 0.015 {'n_estimators': 40, 'max_depth': 22}
0.381 0.010 {'n_estimators': 45, 'max_depth': 22}
0.357 0.009 {'n_estimators': 10, 'max_depth': 23}
0.356 0.009 {'n_estimators': 15, 'max_depth': 23}
0.372 0.012 {'n_estimators': 20, 'max_depth': 23}
0.375 0.008 {'n_estimators': 25, 'max_depth': 23}
0.372 0.018 {'n_estimators': 30, 'max_depth': 23}
0.382 0.007 {'n_estimators': 35, 'max_depth': 23}
0.385 0.009 {'n_estimators': 40, 'max_depth': 23}
0.389 0.011 {'n_estimators': 45, 'max_depth': 23}
0.348 0.012 {'n_estimators': 10, 'max_depth': 24}
0.363 0.007 {'n_estimators': 15, 'max_depth': 24}
0.376 0.003 {'n_estimators': 20, 'max_depth': 24}
0.376 0.008 {'n_estimators': 25, 'max_depth': 24}
0.380 0.011 {'n_estimators': 30, 'max_depth': 24}
0.391 0.006 {'n_estimators': 35, 'max_depth': 24}
0.384 0.010 {'n_estimators': 40, 'max_depth': 24}
0.387 0.009 {'n_estimators': 45, 'max_depth': 24}
0.356 0.009 {'n_estimators': 10, 'max_depth': 25}
0.366 0.008 {'n_estimators': 15, 'max_depth': 25}
0.371 0.011 {'n_estimators': 20, 'max_depth': 25}
0.376 0.009 {'n_estimators': 25, 'max_depth': 25}
0.378 0.006 {'n_estimators': 30, 'max_depth': 25}
0.382 0.013 {'n_estimators': 35, 'max_depth': 25}
0.377 0.007 {'n_estimators': 40, 'max_depth': 25}
0.389 0.007 {'n_estimators': 45, 'max_depth': 25}
0.362 0.012 {'n_estimators': 10, 'max_depth': 26}
0.360 0.013 {'n_estimators': 15, 'max_depth': 26}
0.379 0.015 {'n_estimators': 20, 'max_depth': 26}
